name,pos,team,adp
J. Gibbs,RB,DET,1.0
B. Robinson,RB,ATL,2.0
J. Chase,WR,CIN,3.0
P. Nacua,WR,LAR,4.0
C. McCaffrey,RB,SF,5.0
J. Smith-Njigba,WR,SEA,6.0
J. Taylor,RB,IND,7.0
A. St. Brown,WR,DET,8.0
J. Cook,RB,BUF,9.0
C. Lamb,WR,DAL,10.0
J. Jefferson,WR,MIN,11.0
S. Barkley,RB,PHI,12.0
D. Achane,RB,MIA,13.0
A. Jeanty,RB,LVR,14.0
O. Hampton,RB,LAC,15.0
C. Brown,RB,CIN,16.0
A. Brown,WR,NE,17.0
D. London,WR,ATL,18.0
D. Henry,RB,BAL,19.0
K. Walker III,RB,KC,20.0
J. Allen,QB,BUF,21.0
G. Pickens,WR,DAL,22.0
B. Bowers,TE,LVR,23.0
T. McBride,TE,ARI,24.0
N. Collins,WR,HOU,25.0
M. Nabers,WR,NYG,26.0
J. Love,RB,ARI,27.0
K. Williams,RB,LAR,28.0
R. Rice,WR,KC,29.0
C. Olave,WR,NO,30.0
L. Jackson,QB,BAL,31.0
D. Smith,WR,PHI,32.0
J. Williams,RB,DAL,33.0
B. Hall,RB,NYJ,34.0
T. Higgins,WR,CIN,35.0
L. McConkey,WR,LAC,36.0
T. McMillan,WR,CAR,37.0
E. Egbuka,WR,TB,38.0
C. Loveland,TE,CHI,39.0
Z. Flowers,WR,BAL,40.0
C. Skattebo,RB,NYG,41.0
B. Irving,RB,TB,42.0
T. Etienne,RB,NO,43.0
J. Waddle,WR,DEN,44.0
G. Wilson,WR,NYJ,45.0
D. Montgomery,RB,HOU,46.0
D. Maye,QB,NE,47.0
T. Warren,TE,IND,48.0
D. Adams,WR,LAR,49.0
D. Swift,RB,CHI,50.0
J. Burrow,QB,CIN,51.0
Q. Judkins,RB,CLE,52.0
D. Moore,WR,BUF,53.0
L. Burden III,WR,CHI,54.0
T. McLaurin,WR,WAS,55.0
T. Henderson,RB,NE,56.0
S. LaPorta,TE,DET,57.0
J. Hurts,QB,PHI,58.0
J. Williams,WR,DET,59.0
B. Tuten,RB,JAC,60.0
M. Evans,WR,SF,61.0
T. Kraft,TE,GB,62.0
J. Price,RB,SEA,63.0
R. Odunze,WR,CHI,64.0
J. Daniels,QB,WAS,65.0
C. Tate,WR,TEN,66.0
K. Pitts,TE,ATL,67.0
C. Watson,WR,GB,68.0
H. Fannin Jr.,TE,CLE,69.0
J. Warren,RB,PIT,70.0
C. Williams,QB,CHI,71.0
P. Washington,WR,JAC,72.0
B. Thomas Jr.,WR,JAC,73.0
D. Metcalf,WR,PIT,74.0
M. Harrison Jr.,WR,ARI,75.0
D. Prescott,QB,DAL,76.0
C. Hubbard,RB,CAR,77.0
R. Harvey,RB,DEN,78.0
C. Sutton,WR,DEN,79.0
R. Stevenson,RB,NE,80.0
J. Herbert,QB,LAC,81.0
G. Kittle,TE,SF,82.0
T. Pollard,RB,TEN,83.0
M. Wilson,WR,ARI,84.0
R. Dowdle,RB,PIT,85.0
D. Kincaid,TE,BUF,86.0
L. Rams,DEF,LAR,87.0
T. Kelce,TE,KC,88.0
M. Lemon,WR,PHI,89.0
B. Aubrey,K,DAL,90.0
J. Dobbins,RB,DEN,91.0
C. Godwin,WR,TB,92.0
J. Dart,QB,NYG,93.0
M. Stafford,QB,LAR,94.0
D. Broncos,DEF,DEN,95.0
A. Pierce,WR,IND,96.0
T. Lawrence,QB,JAC,97.0
J. Ferguson,TE,DAL,98.0
J. Brooks,RB,CAR,99.0
B. Corum,RB,LAR,100.0
K. Monangai,RB,CHI,101.0
J. Addison,WR,MIN,102.0
H. Texans,DEF,HOU,103.0
J. Tyson,WR,NO,103.0
M. Pittman Jr.,WR,PIT,104.0
S. Seahawks,DEF,SEA,105.0
I. Likely,TE,NYG,106.0
S. Diggs,WR,WAS,107.0
J. Reed,WR,GB,108.0
J. Mason,RB,MIN,109.0
P. Mahomes,QB,KC,110.0
K. Gainwell,RB,TB,111.0
J. Downs,WR,IND,112.0
Q. Johnston,WR,LAC,113.0
J. Croskey-Merritt,RB,WAS,114.0
B. Nix,QB,DEN,116.0
C. Dicker,K,LAC,117.0
W. Robinson,WR,TEN,118.0
K. Concepcion,WR,CLE,119.0
D. Goedert,TE,PHI,120.0
B. Purdy,QB,SF,121.0
P. Eagles,DEF,PHI,122.0
J. Meyers,WR,JAC,123.0
J. Myers,K,SEA,124.0
M. Golden,WR,GB,125.0
A. Jones,RB,MIN,126.0
M. Andrews,TE,BAL,127.0
K. Fairbairn,K,HOU,128.0
D. Samuel,WR,SF,129.0
R. Doubs,WR,NE,130.0
J. Goff,QB,DET,131.0
R. White,RB,WAS,132.0
C. Little,K,JAC,133.0
B. Ravens,DEF,BAL,134.0
N. Patriots,DEF,NE,135.0
D. Stribling,WR,SF,136.0
X. Worthy,WR,KC,137.0
C. Rodriguez,RB,JAC,138.0
J. Bates,K,DET,139.0
H. Henry,TE,NE,140.0
T. Allgeier,RB,ARI,142.0
B. Mayfield,QB,TB,143.0
K. Shakir,WR,BUF,144.0
C. Boswell,K,PIT,145.0
J. Coker,WR,CAR,146.0
R. Shaheed,WR,SEA,147.0
W. Marks,RB,HOU,148.0
Z. Charbonnet,RB,SEA,149.0
K. Murray,QB,MIN,150.0
P. Steelers,DEF,PIT,151.0
J. Love,QB,GB,152.0
M. Vikings,DEF,MIN,153.0
B. Strange,TE,JAC,154.0
H. Mevis,K,LAR,155.0
J. Jaguars,DEF,JAC,156.0
D. Lions,DEF,DET,157.0
C. Browns,DEF,CLE,157.0
M. Lloyd,RB,GB,158.0
M. Washington Jr.,RB,LVR,159.0
H. Butker,K,KC,160.0
O. Gadsden II,TE,LAC,160.0
J. Lane,WR,BAL,161.0
S. Darnold,QB,SEA,162.0
T. Spears,RB,TEN,163.0
T. Hockenson,TE,MIN,164.0
A. Kamara,RB,NO,165.0
L. Chargers,DEF,LAC,166.0
J. Coleman,RB,DEN,167.0
T. Hunter,WR,JAC,168.0
W. Reichard,K,MIN,169.0
D. Boston,WR,CLE,170.0
B. Robinson Jr.,RB,ATL,171.0
K. Sadiq,TE,NYJ,172.0
T. Tracy Jr.,RB,NYG,173.0
A. Borregales,K,NE,174.0
T. Loop,K,BAL,177.0
T. Bigsby,RB,PHI,178.0
J. Johnson,TE,NO,179.0
M. Washington,WR,MIA,179.0
E. McPherson,K,CIN,180.0
B. Grupe,K,NYJ,180.0
A. Barner,TE,SEA,181.0
J. Nailor,WR,LVR,182.0
S. Shrader,K,IND,182.0
D. Schultz,TE,HOU,183.0
K. Mitchell,RB,LAC,184.0
J. Jeudy,WR,CLE,185.0
F. Mendoza,QB,LVR,186.0
C. Ridley,WR,TEN,186.0
C. Allen,WR,KC,186.0
T. Shough,QB,NO,187.0
J. Hill,RB,BAL,187.0
N. Dell,WR,HOU,188.0
D. Sampson,RB,CLE,189.0
N. Saints,DEF,NO,189.0
I. Pacheco,RB,DET,190.0
C. Okonkwo,TE,WAS,191.0
E. Pineiro,K,SF,192.0
O. Cooper Jr.,WR,NYJ,193.0
K. Black,RB,SF,194.0
J. Brissett,QB,ARI,195.0
T. Smack,K,GB,195.0
C. Douglas,WR,MIA,196.0
K. Boutte,WR,HOU,198.0
K. Allen,WR,IND,199.0
D. Cowboys,DEF,DAL,200.0
N. Folk,K,ATL,200.0
G. Smith,QB,NYJ,201.0
T. Tucker,WR,LVR,201.0
D. Jones,QB,IND,202.0
G. Packers,DEF,GB,203.0
B. Allen,RB,NYJ,204.0
C. Stroud,QB,HOU,205.0
M. Fields,WR,NYG,205.0
C. Brooks,RB,GB,206.0
T. Ferguson,TE,LAR,206.0
E. Johnson,RB,KC,207.0
W. Lutz,K,DEN,207.0
M. Willis,QB,MIA,208.0
J. McMillan,WR,TB,209.0
J. James,RB,SF,210.0
C. Kupp,WR,SEA,210.0
N. Singleton,RB,TEN,212.0
J. Noel,WR,HOU,213.0
G. Dulcich,TE,MIA,213.0
G. Holani,RB,SEA,214.0
J. Jennings,WR,MIN,214.0
I. TeSlaa,WR,DET,214.0
K. Johnson,RB,GB,215.0
S. Perine,RB,CIN,216.0
B. Bills,DEF,BUF,217.0
I. Davis,RB,NYJ,217.0
S. Tucker,RB,TB,219.0
I. Colts,DEF,IND,219.0
J. Elliott,K,PHI,220.0
D. Njoku,TE,LAC,220.0
N. Harris,RB,NYG,222.0
C. Bears,DEF,CHI,223.0
T. Johnson,RB,BUF,225.0
C. McLaughlin,K,TB,225.0
Z. Branch,WR,ATL,225.0
K. Chiefs,DEF,KC,227.0
L. Allen,RB,JAC,227.0
R. Davis,RB,BUF,230.0
K. Miller,RB,NO,231.0
B. Young,QB,CAR,233.0
D. Singletary,RB,NYG,234.0
B. Smith,RB,KC,234.0
S. McGowan,RB,IND,235.0
P. Bryant,WR,DEN,235.0
C. Bell,WR,MIA,237.0
M. Penix Jr.,QB,ATL,238.0
J. Wright,RB,MIA,239.0
A. Falcons,DEF,ATL,239.0
S. Sanders,QB,CLE,239.0
C. Santos,K,CHI,240.0
G. Helm,TE,TEN,240.0
J. Blue,RB,PHI,241.0
A. Rodgers,QB,PIT,243.0
T. Titans,DEF,TEN,243.0
E. Wilson,RB,SEA,244.0
T. Tagovailoa,QB,ATL,244.0
E. Sarratt,WR,BAL,244.0
D. Claiborne,RB,MIN,245.0
C. Ward,QB,TEN,246.0
O. Gordon II,RB,MIA,246.0
A. Randall,RB,BAL,247.0
T. Bass,K,BUF,248.0
G. Bernard,WR,PIT,248.0
J. Conner,RB,ARI,249.0
T. Franklin,WR,DEN,249.0
T. Harris,WR,LAC,250.0
J. Saylors,RB,DET,251.0
R. Flournoy,WR,DAL,251.0
T. Hurst,WR,TB,251.0
J. Mixon,RB,UNS,252.0
A. Mitchell,WR,NYJ,253.0
N. Jets,DEF,NYJ,254.0
T. Buccaneers,DEF,TB,256.0
D. Zvada,K,NYG,257.0
R. Bateman,WR,BAL,257.0
J. McNichols,RB,WAS,258.0
D. Mooney,WR,NYG,258.0
A. Gibson,RB,UNS,259.0
C. Otton,TE,TB,259.0
J. McCarthy,QB,MIN,259.0
C. Kirk,WR,SF,260.0
T. Benson,RB,UNS,261.0
K. Hunt,RB,UNS,262.0
L. Raiders,DEF,LVR,263.0
K. Juszczyk,RB,SF,264.0
J. Bech,WR,LVR,264.0
A. Williams,WR,WAS,264.0
D. Carlson,K,NO,265.0
J. Tonges,TE,SF,265.0
S. Vaki,RB,DET,268.0
R. Patterson,K,MIA,268.0
T. Goodson,RB,UNS,269.0
C. Parkinson,TE,LAR,269.0
A. Miller,WR,BAL,269.0
I. Guerendo,RB,SF,270.0
T. Horton,WR,SEA,270.0
R. Fitzgerald,K,CAR,271.0
A. Estime,RB,NO,271.0
K. Vidal,RB,LAC,272.0
D. Watson,QB,CLE,272.0
M. Mims Jr.,WR,DEN,272.0
D. Wicks,WR,PHI,273.0
D. Laube,RB,LVR,274.0
D. Jackson,WR,HOU,274.0
A. Ekeler,RB,UNS,276.0
C. Panthers,DEF,CAR,276.0
N. Giants,DEF,NYG,277.0
E. Stowers,TE,PHI,278.0
J. Deguara,TE,UNS,279.0
A. Mattison,RB,UNS,280.0
K. Allen,RB,WAS,281.0
M. Sanders,RB,UNS,281.0
E. Ayomanor,WR,TEN,281.0
D. Vele,WR,NO,283.0
D. Stevens,K,WAS,284.0
P. Freiermuth,TE,PIT,284.0
T. Johnson,TE,NYG,284.0
P. Mafah,RB,UNS,285.0
C. Ryland,K,ARI,285.0
J. Hunter,RB,UNS,287.0
D. Neal,RB,UNS,287.0
W. Commanders,DEF,WAS,288.0
C. Dike,WR,TEN,289.0
E. Heidenreich,WR,PIT,290.0
E. Demercado,RB,DAL,291.0
C. Bengals,DEF,CIN,292.0
T. Hill,WR,UNS,292.0
J. Moody,K,UNS,294.0
A. Szmyt,K,CLE,295.0
A. Cardinals,DEF,ARI,296.0
K. Coleman,WR,BUF,296.0
T. Simpson,QB,LAR,296.0
M. Klare,TE,LAR,297.0
K. Williams,WR,NE,298.0
R. Sanders,RB,CLE,299.0
R. Johnson,RB,CHI,300.0
M. Taylor,TE,NYJ,300.0
C. Uzomah,TE,UNS,300.0
