ds_rank,name,pos,team,pos_rank,ds_tier,games,adp,bye,sos,injury,floor,cons_proj,proj,ceil,value
1,J Gibbs,RB,DET,1,1,17.0,1,6.0,0.9,0.54,294.0,353.0,359.0,413.0,100.0
2,P Nacua,WR,LAR,1,1,17.0,4,11.0,-3.1,0.51,270.0,330.0,355.0,398.0,98.0
3,B Robinson,RB,ATL,2,1,17.0,2,11.0,-3.2,0.25,294.0,342.0,345.0,404.0,95.0
4,J Chase,WR,CIN,2,1,17.0,3,6.0,4.0,0.37,291.0,327.0,339.0,400.0,95.0
5,C McCaffrey,RB,SF,3,1,17.0,5,8.0,0.7,0.78,275.0,316.0,331.0,411.0,89.0
6,J Smith-Njigba,WR,SEA,3,2,17.0,6,11.0,-0.1,0.39,286.0,304.0,315.0,375.0,83.0
7,A St. Brown,WR,DET,4,2,17.0,8,6.0,-1.0,0.37,288.0,299.0,316.0,357.0,81.0
8,C Lamb,WR,DAL,5,2,17.0,10,14.0,-0.7,0.44,262.0,270.0,301.0,361.0,74.0
9,J Jefferson,WR,MIN,6,2,17.0,11,6.0,4.9,0.36,248.0,263.0,292.0,379.0,73.0
10,J Taylor,RB,IND,4,2,17.0,7,13.0,1.7,0.37,254.0,297.0,299.0,364.0,70.0
11,J Cook,RB,BUF,5,2,17.0,9,7.0,-4.2,0.36,253.0,267.0,294.0,362.0,68.0
12,K Walker III,RB,KC,6,2,17.0,17,5.0,0.6,0.34,231.0,247.0,278.0,361.0,61.0
13,S Barkley,RB,PHI,7,2,17.0,14,10.0,4.4,0.35,235.0,254.0,270.0,368.0,60.0
14,D London,WR,ATL,7,3,17.0,20,11.0,0.4,0.73,248.0,262.0,272.0,330.0,59.0
15,A Brown,WR,NE,8,3,17.0,18,11.0,-2.5,0.61,227.0,257.0,271.0,344.0,59.0
16,A Jeanty,RB,LVR,8,3,16.0,16,13.0,-3.1,0.39,209.0,246.0,270.0,367.0,58.0
17,D Achane,RB,MIA,9,3,17.0,12,6.0,0.8,0.68,234.0,276.0,272.0,351.0,57.0
18,N Collins,WR,HOU,9,3,17.0,23,8.0,4.4,0.49,234.0,252.0,268.0,333.0,57.0
19,C Brown,RB,CIN,10,3,17.0,13,6.0,-4.0,0.45,227.0,263.0,267.0,355.0,56.0
20,O Hampton,RB,LAC,11,3,17.0,15,7.0,0.6,0.73,224.0,248.0,261.0,362.0,55.0
21,G Pickens,WR,DAL,10,3,17.0,22,14.0,-0.7,0.36,228.0,248.0,262.0,332.0,54.0
22,R Rice,WR,KC,11,3,17.0,31,5.0,-2.6,0.74,208.0,243.0,266.0,330.0,53.0
23,B Bowers,TE,LVR,1,3,17.0,21,13.0,-1.0,0.81,236.0,246.0,260.0,312.0,53.0
24,D Henry,RB,BAL,12,3,17.0,19,13.0,-0.1,0.33,223.0,252.0,263.0,334.0,51.0
25,T McBride,TE,ARI,2,3,17.0,25,14.0,-3.6,0.46,236.0,243.0,254.0,305.0,51.0
26,J Allen,QB,BUF,1,3,17.0,24,7.0,-3.4,0.33,302.0,358.0,373.0,436.0,49.0
27,C Olave,WR,NO,12,4,17.0,26,8.0,0.9,0.75,216.0,244.0,257.0,308.0,48.0
28,M Nabers,WR,NYG,13,4,16.0,27,8.0,3.7,0.39,192.0,235.0,243.0,341.0,48.0
29,Z Flowers,WR,BAL,14,4,17.0,34,13.0,-0.3,0.36,225.0,238.0,253.0,296.0,46.0
30,D Smith,WR,PHI,15,4,17.0,32,10.0,6.6,0.5,223.0,234.0,243.0,306.0,44.0
31,B Hall,RB,NYJ,13,4,17.0,33,13.0,-2.5,0.43,212.0,235.0,250.0,317.0,43.0
