rank,name,pos,team,tier,ovr_tier,pos_rank,ppg,ds_rank
1,Jahmyr Gibbs,RB,DET,1,1,1,21.6,1
2,Puka Nacua,WR,LAR,1,1,2,23.4,2
3,Bijan Robinson,RB,ATL,1,1,2,21.8,3
4,Ja'Marr Chase,WR,CIN,1,1,1,19.6,4
5,Christian McCaffrey,RB,SF,2,1,3,24.5,5
6,Jaxon Smith-Njigba,WR,SEA,1,2,3,21.2,6
7,Amon-Ra St. Brown,WR,DET,2,2,4,19.1,7
8,CeeDee Lamb,WR,DAL,2,2,5,14.3,8
9,Justin Jefferson,WR,MIN,2,2,6,11.8,9
10,Jonathan Taylor,RB,IND,2,2,4,21.3,10
11,James Cook,RB,BUF,3,2,5,17.8,11
12,Kenneth Walker,RB,KC,3,2,10,11.3,12
13,Saquon Barkley,RB,PHI,3,2,8,14.5,13
14,Drake London,WR,ATL,3,3,8,16.8,14
15,A.J. Brown,WR,NE,3,3,7,14.7,15
16,Ashton Jeanty,RB,LV,3,3,11,14.4,16
17,De'Von Achane,RB,MIA,3,3,7,20.2,17
18,Nico Collins,WR,HOU,3,3,9,15.1,18
19,Chase Brown,RB,CIN,3,3,6,16.6,19
20,Omarion Hampton,RB,LAC,3,3,9,15.1,20
21,George Pickens,WR,DAL,3,3,11,17.2,21
22,Rashee Rice,WR,KC,3,3,12,18.8,22
23,Brock Bowers,TE,LV,1,3,1,14.7,23
24,Derrick Henry,RB,BAL,3,3,12,16.4,24
25,Trey McBride,TE,ARI,1,3,2,18.6,25
26,Josh Allen,QB,BUF,1,3,1,21.4,26
27,Chris Olave,WR,NO,3,4,13,16.8,27
28,Malik Nabers,WR,NYG,3,4,10,14.3,28
29,Zay Flowers,WR,BAL,4,4,16,14.3,29
30,DeVonta Smith,WR,PHI,4,4,14,11.9,30
31,Breece Hall,RB,NYJ,4,4,13,13,31
32,Tee Higgins,WR,CIN,4,4,15,14.1,32
33,Colston Loveland,TE,CHI,2,4,3,10.3,33
34,Jeremiyah Love,RB,ARI,4,4,14,,34
35,Garrett Wilson,WR,NYJ,4,4,21,14.2,35
36,Javonte Williams,RB,DAL,4,4,16,15.2,36
37,Jaylen Waddle,WR,DEN,4,4,17,12.1,37
38,Tyler Warren,TE,IND,3,4,4,11.1,38
39,Lamar Jackson,QB,BAL,2,4,2,16.5,39
40,Travis Etienne,RB,NO,4,4,17,14.9,40
41,Davante Adams,WR,LAR,5,5,22,15.9,41
42,Christian Watson,WR,GB,5,5,23,13.2,42
43,Kyren Williams,RB,LAR,4,5,15,15.5,43
44,Tetairoa McMillan,WR,CAR,4,5,18,12.4,44
45,Luther Burden,WR,CHI,5,5,25,8.5,45
46,Emeka Egbuka,WR,TB,4,5,19,11.5,46
47,Ladd McConkey,WR,LAC,4,5,20,11.3,47
48,D'Andre Swift,RB,CHI,5,5,18,14.3,48
49,Joe Burrow,QB,CIN,3,5,6,16.8,49
50,Drake Maye,QB,NE,3,5,4,20.7,50
51,Jalen Hurts,QB,PHI,3,5,5,18.7,51
52,Jayden Daniels,QB,WAS,2,5,3,16.3,52
53,Mike Evans,WR,SF,5,5,29,10.6,53
54,Terry McLaurin,WR,WAS,5,5,26,11.4,54
55,Cam Skattebo,RB,NYG,5,5,22,16,55
56,Bucky Irving,RB,TB,5,5,21,13.8,56
57,Jameson Williams,WR,DET,5,5,24,12.9,57
58,David Montgomery,RB,HOU,5,5,19,9.8,58
59,Rome Odunze,WR,CHI,5,5,27,12.2,59
60,Rhamondre Stevenson,RB,NE,6,5,25,12.8,60
61,Tucker Kraft,TE,GB,3,5,5,14.7,61
62,Harold Fannin,TE,CLE,4,5,7,11.7,62
63,Sam LaPorta,TE,DET,4,5,6,11.9,63
64,Trevor Lawrence,QB,JAX,5,6,11,19.9,64
65,Justin Herbert,QB,LAC,4,6,9,17.9,65
66,Caleb Williams,QB,CHI,3,6,7,18.7,66
67,Quinshon Judkins,RB,CLE,5,6,20,12.1,67
68,Brock Purdy,QB,SF,5,6,13,19.7,68
69,Kyler Murray,QB,MIN,5,6,14,15.6,69
70,Dak Prescott,QB,DAL,4,6,8,18.5,70
71,Parker Washington,WR,JAX,6,6,32,10.8,71
72,DJ Moore,WR,BUF,5,6,28,10,72
73,Jaylen Warren,RB,PIT,6,6,27,13.6,73
74,Jaxson Dart,QB,NYG,5,6,12,17.3,74
75,Bhayshul Tuten,RB,JAX,5,6,24,5.9,75
76,TreVeyon Henderson,RB,NE,6,6,26,12.1,76
77,Jadarian Price,RB,SEA,5,6,23,,77
78,Bo Nix,QB,DEN,5,7,15,17.9,78
79,DK Metcalf,WR,PIT,6,7,35,12.5,79
80,Kyle Pitts,TE,ATL,4,7,8,12.4,80
81,Rico Dowdle,RB,PIT,7,7,32,12.7,81
82,Jonathon Brooks,RB,CAR,6,7,28,,82
83,Patrick Mahomes,QB,KC,4,7,10,20.4,83
84,Tate,WR,TEN,6,7,30,,84
85,Marvin Harrison Jr.,WR,ARI,6,7,33,10.7,85
86,George Kittle,TE,SF,5,7,9,14.7,86
87,Jared Goff,QB,DET,5,7,17,17.5,87
88,Jayden Reed,WR,GB,8,7,49,6.9,88
89,Tony Pollard,RB,TEN,7,7,31,10.9,89
90,MarShawn Lloyd,RB,GB,6,7,29,,90
91,Matthew Stafford,QB,LAR,5,7,16,20.6,91
92,Michael Pittman,WR,PIT,7,7,39,11.9,92
93,Courtland Sutton,WR,DEN,7,7,40,12.9,93
94,J.K. Dobbins,RB,DEN,8,7,36,11.6,94
95,Jordan Love,QB,GB,6,7,18,15.7,95
96,Tyler Shough,QB,NO,6,7,20,14.4,96
97,Baker Mayfield,QB,TB,6,8,19,16,97
98,Jordan Addison,WR,MIN,7,8,36,9.7,98
99,Chris Godwin,WR,TB,6,8,34,9.2,99
100,Brian Thomas Jr.,WR,JAX,6,8,31,9.9,100
101,RJ Harvey,RB,DEN,7,8,30,12.2,101
102,Jacory Croskey-Merritt,RB,WAS,8,8,38,8.3,102
103,Jordan Mason,RB,MIN,8,8,35,8.1,103
104,Quentin Johnston,WR,LAC,7,8,37,12.2,104
105,Chuba Hubbard,RB,CAR,7,8,34,8.4,105
106,J Meyers,WR,JAC,,8,41,,106
107,Josh Downs,WR,IND,8,8,46,8.5,107
108,Stefon Diggs,WR,WAS,8,8,42,12.4,108
109,T Spears,RB,TEN,,8,37,,109
110,Kenneth Gainwell,RB,TB,8,8,37,13,110
111,Blake Corum,RB,LAR,7,8,33,7.2,111
112,K Monangai,RB,CHI,,8,40,,112
113,Travis Kelce,TE,KC,5,8,10,11.4,113
114,Rachaad White,RB,WAS,8,9,39,8.4,114
115,Malik Willis,QB,GB,6,9,21,12.8,115
116,Brandon Aubrey,K,DAL,1,9,1,11.0,116
117,W Marks,RB,HOU,,9,42,,117
118,Daniel Jones,QB,IND,7,9,25,17.4,118
119,Xavier Worthy,WR,KC,8,9,51,7.8,119
120,A Jones,RB,MIN,,9,43,,120
121,R Doubs,WR,NE,,9,45,,121
122,KC Concepcion,WR,CLE,8,9,48,,122
123,Josh Jacobs,RB,GB,8,9,40,15.8,123
124,Z Charbonnet,RB,SEA,,9,45,,124
125,Michael Wilson,WR,ARI,8,9,45,13,126
126,Alec Pierce,WR,IND,8,9,43,12.2,127
127,Wan'Dale Robinson,WR,TEN,8,9,44,13.6,128
128,Cameron Dicker,K,LAC,2,9,3,10.0,129
129,Makai Lemon,WR,PHI,7,9,38,,130
130,Matthew Golden,WR,GB,8,9,47,5,131
131,D Sampson,RB,CLE,,10,46,,133
132,K Mitchell,RB,LAC,,10,47,,134
133,Cam Ward,QB,TEN,7,10,22,11,135
134,Houston Texans,DEF,HOU,1,10,2,9.6,136
135,C Rodriguez,RB,JAC,,10,48,,137
136,C.J. Stroud,QB,HOU,7,10,24,14.9,139
137,Dalton Kincaid,TE,BUF,5,11,13,10.5,141
138,M Washington Jr.,RB,LVR,,11,49,,142
139,K Shakir,WR,BUF,,11,56,,143
140,Tyson,WR,NO,8,11,50,,144
141,D Samuel,WR,SF,,11,57,,145
142,Dallas Goedert,TE,PHI,6,11,15,12.3,146
143,Ka'imi Fairbairn,K,HOU,2,11,2,12.9,147
144,Denver Broncos,DEF,DEN,1,11,3,8.4,148
145,Seattle Seahawks,DEF,SEA,2,11,4,10.5,149
146,T Allgeier,RB,ARI,,11,50,,150
147,Sam Darnold,QB,SEA,7,11,23,13.8,151
148,Bryce Young,QB,CAR,7,11,26,13.6,152
149,Jacoby Brissett,QB,ARI,8,11,30,16.3,153
150,Jake Ferguson,TE,DAL,5,11,12,11.1,154
151,Stribling,WR,SF,7,11,41,,155
152,Cam Little,K,JAX,3,11,5,9.6,156
153,Pittsburgh Steelers,DEF,PIT,4,11,10,7.6,158
154,B Robinson Jr.,RB,ATL,,11,51,,159
155,Mark Andrews,TE,BAL,5,11,11,7.7,160
156,Cairo Santos,K,CHI,6,11,15,8.8,161
157,Eddy Pineiro,K,SF,5,12,10,10.0,162
158,Evan McPherson,K,CIN,6,12,14,8.0,163
159,Baltimore Ravens,DEF,BAL,5,12,15,5.7,164
160,A Kamara,RB,NO,,12,52,,165
161,T Tracy Jr.,RB,NYG,,12,53,,166
