rank,name,pos,team,tier,tier_label,ppg
1,Josh Allen,QB,BUF,1,S,21.4
2,Lamar Jackson,QB,BAL,2,A,16.5
3,Jayden Daniels,QB,WAS,2,A,16.3
4,Drake Maye,QB,NE,3,B,20.7
5,Jalen Hurts,QB,PHI,3,B,18.7
6,Joe Burrow,QB,CIN,3,B,16.8
7,Caleb Williams,QB,CHI,3,B,18.7
8,Dak Prescott,QB,DAL,4,C,18.5
9,Justin Herbert,QB,LAC,4,C,17.9
10,Patrick Mahomes,QB,KC,4,C,20.4
11,Trevor Lawrence,QB,JAX,5,D,19.9
12,Jaxson Dart,QB,NYG,5,D,17.3
13,Brock Purdy,QB,SF,5,D,19.7
14,Kyler Murray,QB,MIN,5,D,15.6
15,Bo Nix,QB,DEN,5,D,17.9
16,Matthew Stafford,QB,LAR,5,D,20.6
17,Jared Goff,QB,DET,5,D,17.5
18,Jordan Love,QB,GB,6,E,15.7
19,Baker Mayfield,QB,TB,6,E,16
20,Tyler Shough,QB,NO,6,E,14.4
21,Malik Willis,QB,GB,6,E,12.8
22,Cam Ward,QB,TEN,7,F,11
23,Sam Darnold,QB,SEA,7,F,13.8
24,C.J. Stroud,QB,HOU,7,F,14.9
25,Daniel Jones,QB,IND,7,F,17.4
26,Bryce Young,QB,CAR,7,F,13.6
27,Fernando Mendoza,QB,LV,8,G,
28,Aaron Rodgers,QB,PIT,8,G,14.2
29,Geno Smith,QB,NYJ,8,G,11.6
30,Jacoby Brissett,QB,ARI,8,G,16.3
31,Tua Tagovailoa,QB,ATL,8,G,11.5
32,Shedeur Sanders,QB,CLE,8,G,10.6
