rank,name,pos,team,tier,tier_label,ppg
1,Jahmyr Gibbs,RB,DET,1,S,21.6
2,Bijan Robinson,RB,ATL,1,S,21.8
3,Christian McCaffrey,RB,SF,2,A,24.5
4,Jonathan Taylor,RB,IND,2,A,21.3
5,James Cook,RB,BUF,3,B,17.8
6,Chase Brown,RB,CIN,3,B,16.6
7,De'Von Achane,RB,MIA,3,B,20.2
8,Saquon Barkley,RB,PHI,3,B,14.5
9,Omarion Hampton,RB,LAC,3,B,15.1
10,Kenneth Walker,RB,KC,3,B,11.3
11,Ashton Jeanty,RB,LV,3,B,14.4
12,Derrick Henry,RB,BAL,3,B,16.4
13,Breece Hall,RB,NYJ,4,C,13
14,Jeremiyah Love,RB,ARI,4,C,
15,Kyren Williams,RB,LAR,4,C,15.5
16,Javonte Williams,RB,DAL,4,C,15.2
17,Travis Etienne,RB,NO,4,C,14.9
18,D'Andre Swift,RB,CHI,5,D,14.3
19,David Montgomery,RB,HOU,5,D,9.8
20,Quinshon Judkins,RB,CLE,5,D,12.1
21,Bucky Irving,RB,TB,5,D,13.8
22,Cam Skattebo,RB,NYG,5,D,16
23,Jadarian Price,RB,SEA,5,D,
24,Bhayshul Tuten,RB,JAX,5,D,5.9
25,Rhamondre Stevenson,RB,NE,6,E,12.8
26,TreVeyon Henderson,RB,NE,6,E,12.1
27,Jaylen Warren,RB,PIT,6,E,13.6
28,Jonathon Brooks,RB,CAR,6,E,
29,MarShawn Lloyd,RB,GB,6,E,
30,RJ Harvey,RB,DEN,7,F,12.2
31,Tony Pollard,RB,TEN,7,F,10.9
32,Rico Dowdle,RB,PIT,7,F,12.7
33,Blake Corum,RB,LAR,7,F,7.2
34,Chuba Hubbard,RB,CAR,7,F,8.4
35,Jordan Mason,RB,MIN,8,G,8.1
36,J.K. Dobbins,RB,DEN,8,G,11.6
37,Kenneth Gainwell,RB,TB,8,G,13
38,Jacory Croskey-Merritt,RB,WAS,8,G,8.3
39,Rachaad White,RB,WAS,8,G,8.4
40,Josh Jacobs,RB,GB,8,G,15.8
