rank,name,pos,team,tier,tier_label,ppg
1,Brock Bowers,TE,LV,1,S,14.7
2,Trey McBride,TE,ARI,1,S,18.6
3,Colston Loveland,TE,CHI,2,A,10.3
4,Tyler Warren,TE,IND,3,B,11.1
5,Tucker Kraft,TE,GB,3,B,14.7
6,Sam LaPorta,TE,DET,4,C,11.9
7,Harold Fannin,TE,CLE,4,C,11.7
8,Kyle Pitts,TE,ATL,4,C,12.4
9,George Kittle,TE,SF,5,D,14.7
10,Travis Kelce,TE,KC,5,D,11.4
11,Mark Andrews,TE,BAL,5,D,7.7
12,Jake Ferguson,TE,DAL,5,D,11.1
13,Dalton Kincaid,TE,BUF,5,D,10.5
14,Isaiah Likely,TE,NYG,6,E,4.4
15,Dallas Goedert,TE,PHI,6,E,12.3
16,Oronde Gadsden,TE,LAC,6,E,8.8
17,Hunter Henry,TE,NE,6,E,10.5
18,Brenton Strange,TE,JAX,6,E,9.8
19,Juwan Johnson,TE,NO,7,F,10.6
20,T.J. Hockenson,TE,MIN,7,F,7.5
21,Chig Okonkwo,TE,WAS,7,F,7.3
22,Kenyon Sadiq,TE,NYJ,7,F,
23,Dalton Schultz,TE,HOU,7,F,10.4
24,AJ Barner,TE,SEA,7,F,8.7
25,Gunnar Helm,TE,TEN,7,F,5.7
